,Accuracy,F1,Precision,Recall,ROC AUC,PR AUC
LR,0.7886966701352758,0.8756934613765925,0.9763672041634672,0.7938401775804661,0.8379107848917869,0.9846408208296322
XGB,0.9388657648283039,0.9682475341170113,0.9436397155649197,0.994173140954495,0.8423820537943951,0.9848949430929151
NN,0.9394510926118627,0.9685992782218624,0.9426245650889516,0.9960460599334073,0.8408543097368664,0.9849254531067128
BRF,0.8386446409989594,0.90825721998299,0.9725984002534253,0.8519006659267481,0.8345963975212726,0.9842339894608374
EEC,0.7860952133194589,0.8738832010429848,0.9770213495670068,0.7904411764705882,0.8378007364502407,0.9847358351619548
TAB,0.9393860561914672,0.968511385904453,0.944078514029772,0.9942425083240843,0.8385355247641509,0.9842924855473324
